                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.6023,                 1.6663,                 1.5842,                0.54365,                0.49532,                0.51672,                0.25719,                 1.7343,                 1.7648,                 1.7145,               0.001783,               0.001783,               0.001783
                     86,                 1.5958,                 1.6631,                 1.5854,                0.54435,                0.49605,                0.51669,                 0.2572,                 1.7345,                 1.7633,                 1.7143,               0.001684,               0.001684,               0.001684
                     87,                 1.6019,                 1.6588,                 1.5883,                0.54759,                0.49472,                 0.5167,                0.25723,                 1.7346,                 1.7626,                 1.7143,               0.001585,               0.001585,               0.001585
                     88,                 1.5958,                 1.6597,                 1.5815,                0.54802,                0.49556,                0.51703,                0.25738,                 1.7349,                 1.7625,                 1.7143,               0.001486,               0.001486,               0.001486
                     89,                 1.5924,                 1.6556,                 1.5796,                0.54883,                0.49457,                 0.5166,                0.25747,                 1.7349,                 1.7614,                  1.714,               0.001387,               0.001387,               0.001387
                     90,                 1.5941,                 1.6544,                 1.5772,                0.54615,                0.49536,                0.51694,                0.25766,                  1.735,                 1.7605,                 1.7139,               0.001288,               0.001288,               0.001288
                     91,                 1.5979,                   1.58,                 1.6182,                0.54699,                0.49382,                0.51719,                0.25735,                 1.7352,                 1.7596,                 1.7139,               0.001189,               0.001189,               0.001189
                     92,                 1.5841,                 1.5455,                 1.6085,                 0.5504,                0.49458,                0.51742,                0.25773,                 1.7355,                 1.7585,                  1.714,                0.00109,                0.00109,                0.00109
                     93,                 1.5818,                 1.5341,                 1.6033,                0.55023,                0.49313,                0.51799,                0.25763,                 1.7361,                  1.757,                 1.7143,               0.000991,               0.000991,               0.000991
                     94,                 1.5774,                 1.5294,                 1.6024,                0.54913,                0.49377,                0.51815,                0.25771,                 1.7361,                 1.7565,                  1.714,               0.000892,               0.000892,               0.000892
                     95,                 1.5618,                 1.5052,                 1.5912,                0.54823,                0.49321,                0.51856,                0.25803,                 1.7363,                 1.7551,                 1.7141,               0.000793,               0.000793,               0.000793
                     96,                 1.5644,                 1.5086,                 1.5925,                0.55174,                0.49292,                0.51865,                0.25825,                 1.7363,                 1.7539,                 1.7142,               0.000694,               0.000694,               0.000694
                     97,                 1.5604,                 1.4989,                 1.5894,                0.55024,                0.49366,                0.51894,                0.25848,                 1.7361,                 1.7528,                 1.7141,               0.000595,               0.000595,               0.000595
                     98,                 1.5542,                 1.4969,                 1.5853,                0.54881,                0.49504,                0.51924,                0.25865,                 1.7362,                 1.7516,                 1.7142,               0.000496,               0.000496,               0.000496
                     99,                 1.5574,                 1.4892,                 1.5812,                0.54839,                0.49471,                0.51939,                0.25862,                 1.7365,                 1.7504,                 1.7142,               0.000397,               0.000397,               0.000397
                    100,                 1.5465,                 1.4837,                 1.5819,                0.54802,                0.49298,                0.51916,                0.25868,                 1.7369,                  1.749,                 1.7145,               0.000298,               0.000298,               0.000298
